year,grid_x,grid_y,retail_count
2019.0,-2000,-1500,58
2019.0,-2000,-1250,15
2019.0,-2000,-1000,15
2019.0,-2000,-750,10
2019.0,-2000,-500,126
2019.0,-2000,-250,113
2019.0,-2000,0,46
2019.0,-2000,250,25
2019.0,-2000,1000,1
2019.0,-2000,1250,3
2019.0,-2000,1500,6
2019.0,-2000,1750,2
2019.0,-2000,2000,18
2019.0,-2000,2750,1
2019.0,-2000,3000,1
2019.0,-2000,3250,1
2019.0,-2000,3750,8
2019.0,-2000,4000,2
2019.0,-1750,-3000,2
2019.0,-1750,-2750,12
2019.0,-1750,-2000,5
2019.0,-1750,-1750,7
2019.0,-1750,-1000,2
2019.0,-1750,-750,34
2019.0,-1750,-500,77
2019.0,-1750,-250,15
2019.0,-1750,250,45
2019.0,-1750,500,5
2019.0,-1750,750,4
2019.0,-1750,1000,3
2019.0,-1750,1500,1
2019.0,-1750,2500,2
2019.0,-1750,2750,17
2019.0,-1750,3000,3
2019.0,-1750,3250,12
2019.0,-1750,3500,4
2019.0,-1750,3750,8
2019.0,-1750,4000,5
2019.0,-1750,6250,1
2019.0,-1500,-3000,2
2019.0,-1500,-2750,2
2019.0,-1500,-2500,7
2019.0,-1500,-2000,4
2019.0,-1500,-1750,1
2019.0,-1500,-1500,2
2019.0,-1500,-1250,2
2019.0,-1500,-1000,1
2019.0,-1500,-750,16
2019.0,-1500,-500,48
2019.0,-1500,-250,11
2019.0,-1500,0,1
2019.0,-1500,250,59
2019.0,-1500,500,21
2019.0,-1500,1000,1
2019.0,-1500,2000,1
2019.0,-1500,2500,2
2019.0,-1500,2750,3
2019.0,-1500,3000,1
2019.0,-1500,3250,45
2019.0,-1500,3500,57
2019.0,-1500,3750,47
2019.0,-1500,4000,58
2019.0,-1500,4250,5
2019.0,-1500,4500,4
2019.0,-1500,6250,24
2019.0,-1250,-3000,6
2019.0,-1250,-2750,16
2019.0,-1250,-2500,4
2019.0,-1250,-2250,19
2019.0,-1250,-1750,14
2019.0,-1250,-1250,10
2019.0,-1250,-1000,1
2019.0,-1250,-750,16
2019.0,-1250,-500,7
2019.0,-1250,-250,1
2019.0,-1250,500,18
2019.0,-1250,1500,1
2019.0,-1250,1750,2
2019.0,-1250,2000,2
2019.0,-1250,2250,5
2019.0,-1250,2500,1
2019.0,-1250,2750,13
2019.0,-1250,3250,2
2019.0,-1250,3500,11
2019.0,-1250,3750,18
2019.0,-1250,4000,6
2019.0,-1250,4250,58
2019.0,-1250,4750,26
2019.0,-1250,5000,1
2019.0,-1250,6000,1
2019.0,-1250,6250,35
2019.0,-1250,6500,3
2019.0,-1000,-3750,2
2019.0,-1000,-2500,44
2019.0,-1000,-2250,1
2019.0,-1000,-2000,13
2019.0,-1000,-1750,2
2019.0,-1000,-1500,2
2019.0,-1000,-1000,2
2019.0,-1000,-750,7
2019.0,-1000,-250,4
2019.0,-1000,0,3
2019.0,-1000,500,11
2019.0,-1000,1000,1
2019.0,-1000,1500,1
2019.0,-1000,1750,3
2019.0,-1000,2000,7
2019.0,-1000,2250,1
2019.0,-1000,2500,11
2019.0,-1000,2750,1
2019.0,-1000,3500,2
2019.0,-1000,3750,1
2019.0,-1000,4000,2
2019.0,-1000,4250,2
2019.0,-1000,4500,1
