city,window,cluster_id,n_records,n_unique_uarn,centroid_lon,centroid_lat,centroid_x_m,centroid_y_m,median_lon,median_lat,median_x_m,median_y_m,high_street_share,occupied_share,median_rateable_value,median_floor_area,dominant_subgroup,dominant_subgroup_share
Liverpool,2016,13,197,197,-2.91244440609137,53.38780273604061,2507.0816445314954,-2004.5615380711677,-2.912403,53.388426,2509.829455948148,-1935.6659399998832,1.0,0.3045685279187817,13500.0,101.3,RETAIL_HIGH_STREET,1.0
Liverpool,2016,14,115,115,-2.9241268608695656,53.39935446086957,1731.804830145051,-727.6338754783673,-2.924157,53.399285,1729.8047223359,-735.3120800002813,1.0,0.3217391304347826,3300.0,67.2,RETAIL_HIGH_STREET,1.0
Liverpool,2016,15,165,165,-2.9331899030303026,53.39357692727274,1130.3587652185668,-1366.282439272841,-2.932981,53.39187,1144.2220909428331,-1554.966180000472,1.0,0.3151515151515151,4425.0,55.8,RETAIL_HIGH_STREET,1.0
Liverpool,2016,16,305,305,-2.947593636065574,53.41028975737704,174.49114365494663,481.1538004587762,-2.948421,53.4122,119.58521098936164,692.3120199996707,1.0,0.2032786885245901,3050.0,62.8,RETAIL_HIGH_STREET,1.0
Liverpool,2016,17,126,126,-2.9741077222222225,53.40949501587302,-1585.0496927676686,393.3030746030555,-2.974589,53.40943,-1616.9884855534876,386.1162199998738,1.0,0.238095238095238,6100.0,137.75,RETAIL_HIGH_STREET,1.0
Liverpool,2016,18,738,738,-2.9885395027100268,53.40570367615176,-2542.778613182008,-25.791618184413814,-2.98757,53.405964,-2478.4399971257435,2.9845799995335653,1.0,0.2222222222222222,17750.0,109.4,RETAIL_HIGH_STREET,1.0
Liverpool,2016,19,113,113,-2.977688796460177,53.40275580530974,-1822.6987040409588,-351.6492610622421,-2.9774,53.402869,-1803.533451197856,-339.1367199998851,1.0,0.2035398230088495,23125.0,158.8,RETAIL_HIGH_STREET,1.0
Liverpool,2016,20,147,147,-2.9808607346938767,53.40616158503401,-2033.196430412982,24.825629659474973,-2.980842,53.406085,-2031.9531494361936,16.359919999537738,1.0,0.0408163265306122,3050.0,20.54,RETAIL_HIGH_STREET,1.0
Liverpool,2016,21,257,257,-2.981207607003891,53.40680628793775,-2056.2157413893106,96.09108863792213,-2.98125,53.406827,-2059.0290462639914,98.38059999981,1.0,0.0194552529182879,540.0,13.85,RETAIL_HIGH_STREET,1.0
Liverpool,2025,0,171,171,-2.8624566842105263,53.382326251462,5824.391449192702,-2609.932143391984,-2.861458,53.382681,5890.666622348956,-2570.7182400003867,1.0,0.7309941520467836,8400.0,78.0,RETAIL_HIGH_STREET,1.0
